"GEOID","state","income","income.moe","age","age.moe"
"05145","Arkansas",42554,2009,36.2,0.3
"05147","Arkansas",28993,2970,43.9,0.5
"05149","Arkansas",37804,2149,39.1,0.6
"06001","California",75619,613,37.1,0.1
"06003","California",52917,13603,43.6,8
"06005","California",54171,4208,50,0.2
"06007","California",43444,1068,36.8,0.3
"06009","California",53233,3774,50.7,0.3
"06011","California",52168,2583,34,0.5
"06013","California",80185,827,38.8,0.2
"06015","California",40847,4369,38.8,0.7
"06017","California",69584,1835,44.9,0.1
"06019","California",45233,692,31.4,0.1
"06021","California",39349,4204,37.2,0.4
"06023","California",42197,1183,37.4,0.2
"06025","California",41079,1556,32.2,0.2
"06027","California",45955,2280,45.7,0.4
"06029","California",49026,865,31.1,0.2
"06031","California",46481,1200,31.4,0.2
"06033","California",35578,2034,45.5,0.2
"06035","California",51555,2789,37,0.5
"06037","California",56196,270,35.6,0.1
"06039","California",45073,1837,33.5,0.2
"06041","California",93257,2610,45.4,0.1
"06043","California",47681,4294,50.6,0.4
"06045","California",42980,1757,42.2,0.3
"06047","California",42462,1214,30.4,0.2
"06049","California",37860,4210,47.8,0.7
"06051","California",56944,10734,38.5,1
"06053","California",58783,1121,33.5,0.1
"06055","California",71379,2063,40.3,0.3
"06057","California",56521,2539,49,0.2
"06059","California",76509,426,37.1,0.2
"06061","California",73948,1220,41,0.2
"06063","California",47333,3575,51.3,0.5
"06065","California",56603,478,34.5,0.1
"06067","California",55987,594,35.5,0.1
"06069","California",71077,2019,35,0.2
"06071","California",53433,571,32.5,0.1
"06073","California",64309,514,35.1,0.1
"06075","California",81294,1099,38.5,0.1
"06077","California",53274,946,33.5,0.1
"06079","California",60691,1137,39.3,0.3
"06081","California",93623,1412,39.5,0.2
"06083","California",63985,1293,33.6,0.1
"06085","California",96310,783,36.8,0.1
"06087","California",67256,1534,37,0.2
"06089","California",44620,1209,42.2,0.3
"06091","California",42833,8464,54.5,1.1
"06093","California",37170,1702,47.8,0.4
"06095","California",66828,1238,37.3,0.1
"06097","California",64240,1224,40.8,0.2
"06099","California",50125,718,33.5,0.2
"06101","California",52017,1350,35.4,0.2
"06103","California",41001,2564,40.5,0.5
"06105","California",34974,4081,50.3,0.3
"06107","California",42031,920,30.3,0.2
"06109","California",50306,2202,48.6,0.4
"06111","California",77348,954,37.1,0.2
"06113","California",54989,1553,30.9,0.2
"06115","California",46892,1931,32.1,0.3
"08001","Colorado",58946,1016,33,0.1
"08003","Colorado",32395,6782,30.1,0.4
"08005","Colorado",63265,942,36.1,0.2
"08007","Colorado",46646,4453,49.6,0.6
"08009","Colorado",38000,3517,47.6,1.2
"08011","Colorado",36791,5397,41.1,1.7
"08013","Colorado",70961,1552,35.8,0.1
"08014","Colorado",81898,2803,37.5,0.3
"08015","Colorado",51092,2278,49.2,0.5
"08017","Colorado",52554,3744,37,3.7
"08019","Colorado",67710,3884,48,1.1
"08021","Colorado",36652,4979,38.4,0.5
"08023","Colorado",31321,5677,49,2.1
"08025","Colorado",31151,4231,35.5,3.6
"08027","Colorado",35000,5776,56.4,3
"08029","Colorado",42452,2626,47.3,0.5
"08031","Colorado",53637,803,34.1,0.2
"08033","Colorado",31875,3530,39.9,3.7
"08035","Colorado",102964,1796,37.6,0.2
"08037","Colorado",72214,3789,35.6,0.2
"08039","Colorado",84963,4050,45.1,0.2
"08041","Colorado",58206,869,33.6,0.2
"08043","Colorado",40423,1747,43.5,0.6
"08045","Colorado",56590,3065,35.9,0.3
"08047","Colorado",65670,10178,44.7,2.2
"08049","Colorado",63628,6543,42.5,0.6
"08051","Colorado",48071,3928,34.3,0.6
"08053","Colorado",57083,6141,55.2,3.6
"08055","Colorado",31715,2861,53.5,0.7
"08057","Colorado",46014,3111,50.8,4
"08059","Colorado",70164,712,40.4,0.2
"08061","Colorado",40304,3948,41.2,4.1
"08063","Colorado",40603,5333,38.9,0.8
"08065","Colorado",45367,6912,39,1.6
"08067","Colorado",60278,1974,38.8,0.6
"08069","Colorado",59805,1055,35.5,0.1
"08071","Colorado",45067,2870,45,0.4
"08073","Colorado",39005,4134,37.8,1.3
"08075","Colorado",42319,3162,37.6,1.2
"08077","Colorado",49322,1601,38.4,0.3
"08079","Colorado",48125,8932,60.9,2.8
"08081","Colorado",51387,3065,37.1,0.5
"08083","Colorado",43553,2152,43.4,0.4
"08085","Colorado",43999,1949,44.2,0.4
"08087","Colorado",48450,2093,36.4,0.4
"08089","Colorado",32311,3221,39.7,0.8
"08091","Colorado",61624,3380,52.9,2.2
"08093","Colorado",56969,5031,49.4,0.6
"08095","Colorado",43639,4117,43.7,3.8
"08097","Colorado",71196,11001,43.4,0.7
"08099","Colorado",40179,3470,37.6,1
"08101","Colorado",41286,901,38.8,0.2
"08103","Colorado",61842,7994,36.4,2.3
"08105","Colorado",39672,4196,40.9,0.6
"08107","Colorado",64963,5211,40.1,0.5
"08109","Colorado",33393,3124,46.1,0.5
"08111","Colorado",36324,2185,46,8.5
"08113","Colorado",56047,6153,40.7,0.9
"08115","Colorado",44191,5886,49.8,2.9
"08117","Colorado",67983,7621,37.1,1.1
"08119","Colorado",62372,3543,49.4,0.3
"08121","Colorado",45541,3034,44.4,0.5
"08123","Colorado",60572,923,33.9,0.2
"08125","Colorado",43105,4306,36,3
"09001","Connecticut",84233,1252,39.7,0.1
"09003","Connecticut",66395,636,40.1,0.1
"09005","Connecticut",72061,1357,46,0.2
"09007","Connecticut",79893,2048,44.2,0.1
"09009","Connecticut",61640,688,39.8,0.2
"09011","Connecticut",66233,1476,40.7,0.2
"09013","Connecticut",79626,1920,38.1,0.3
"09015","Connecticut",59392,2221,40.4,0.4
"10001","Delaware",54976,1350,37,0.2
"10003","Delaware",65476,783,37.5,0.2
"10005","Delaware",53751,1168,47,0.2
"11001","District of Columbia",70848,843,33.7,0.1
"12001","Florida",43073,1713,30.8,0.2
"12003","Florida",47121,4778,36.6,0.6
"12005","Florida",47368,1318,39.8,0.4
"12007","Florida",41606,4845,39.6,1.6
"12009","Florida",48925,739,46.6,0.2
"12011","Florida",51968,429,40,0.1
"12013","Florida",34510,2159,40.5,0.6
"12015","Florida",44244,1207,57.3,0.2
"12017","Florida",38312,1593,55.4,0.1
"12019","Florida",58290,2010,39,0.4
"12021","Florida",57452,1354,48.5,0.1
"12023","Florida",41926,1816,40.4,0.5
